Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product_Name,Region,State,City,Quantity,Sales,Discount,Cost,Profit,Payment_Mode,Sales_Channel
ORD00017,2025-08-28,CUST0198,Customer_0198,Home & Kitchen,Lamp,Lamp,South,Karnataka,Mangalore,1,46714.56,0.2,44266.51,2448.05,UPI,Online
ORD00018,2025-05-27,CUST1370,Customer_1370,Home & Kitchen,Lamp,Lamp,North,Punjab,Ludhiana,3,128185.17,0.1,93298.9,34886.27,Cash,Offline
ORD00019,2025-05-31,CUST0473,Customer_0473,Home & Kitchen,Mixer,Mixer,North,Delhi,Rohini,2,120776.32,0.1,91959.97,28816.35,Credit Card,Online
ORD00020,2025-01-09,CUST1184,Customer_1184,Home & Kitchen,Cookware,Cookware,East,West Bengal,Kolkata,2,135493.69,0.15,117891.2,17602.49,UPI,Online
ORD00021,2025-04-14,CUST1444,Customer_1444,Clothing,Jacket,Jacket,North,Rajasthan,Jodhpur,1,46387.36,0.1,42980.92,3406.44,Cash,Offline
ORD00022,2025-07-27,CUST1187,Customer_1187,Clothing,Shirt,Shirt,North,Uttar Pradesh,Noida,5,109590.66,0.05,83220.08,26370.58,Net Banking,Online
ORD00023,2025-06-25,CUST1057,Customer_1057,Home & Kitchen,Mixer,Mixer,North,Rajasthan,Jaipur,5,66223.82,0.1,56246.34,9977.48,Cash,Online
ORD00024,2025-11-13,CUST0284,Customer_0284,Clothing,T-Shirt,T-Shirt,North,Uttar Pradesh,Lucknow,3,84082.44,0.2,76269.01,7813.43,Debit Card,Offline
ORD00025,2025-10-07,CUST1061,Customer_1061,Clothing,Shirt,Shirt,North,Delhi,Dwarka,5,102262.71,0.1,89415.07,12847.64,Net Banking,Online
ORD00026,2025-01-18,CUST0128,Customer_0128,Sports,Tennis Racket,Tennis Racket,North,Delhi,Rohini,5,155576.35,0.0,105672.2,49904.15,UPI,Offline
ORD00027,2025-09-30,CUST0490,Customer_0490,Furniture,Sofa,Sofa,South,Karnataka,Mysore,2,93846.84,0.05,65548.65,28298.19,UPI,Online
ORD00028,2025-11-09,CUST0828,Customer_0828,Clothing,T-Shirt,T-Shirt,South,Tamil Nadu,Madurai,2,129808.03,0.0,97729.67,32078.36,Cash,Online
ORD00029,2025-08-03,CUST1824,Customer_1824,Home & Kitchen,Mixer,Mixer,South,Karnataka,Mysore,4,241352.62,0.15,211457.89,29894.73,Debit Card,Online
ORD00030,2025-02-23,CUST1807,Customer_1807,Furniture,Desk,Desk,North,Punjab,Amritsar,2,4972.11,0.15,3566.52,1405.59,Debit Card,Offline
ORD00031,2025-12-31,CUST0774,Customer_0774,Sports,Cricket Bat,Cricket Bat,South,Karnataka,Bengaluru,4,56504.87,0.2,50452.94,6051.93,Cash,Offline
ORD00032,2025-12-12,CUST1975,Customer_1975,Clothing,Shoes,Shoes,North,Haryana,Faridabad,3,172036.72,0.1,135668.7,36368.02,Net Banking,Offline
ORD00033,2025-02-17,CUST1142,Customer_1142,Sports,Cricket Bat,Cricket Bat,West,Maharashtra,Mumbai,2,139193.03,0.05,96694.74,42498.29,UPI,Offline
ORD00034,2025-03-27,CUST1680,Customer_1680,Sports,Running Shoes,Running Shoes,North,Delhi,New Delhi,5,221093.1,0.1,162609.73,58483.37,UPI,Online
ORD00035,2025-02-08,CUST0341,Customer_0341,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,North,Delhi,Dwarka,4,54867.27,0.05,45675.05,9192.22,Cash,Online
ORD00036,2025-05-27,CUST0762,Customer_0762,Sports,Football,Football,South,Tamil Nadu,Coimbatore,5,301712.14,0.15,246215.97,55496.17,Credit Card,Offline
ORD00037,2025-06-27,CUST1932,Customer_1932,Electronics,Tablet,Tablet,North,Rajasthan,Udaipur,2,4693.77,0.1,4173.48,520.29,Debit Card,Offline
ORD00038,2025-02-12,CUST1866,Customer_1866,Electronics,Laptop,Laptop,North,Uttar Pradesh,Ghaziabad,5,251311.02,0.0,211176.06,40134.96,Cash,Online
ORD00039,2025-03-31,CUST0605,Customer_0605,Sports,Yoga Mat,Yoga Mat,North,Haryana,Gurugram,3,148953.55,0.0,113790.18,35163.37,Credit Card,Online
ORD00040,2025-10-04,CUST0729,Customer_0729,Electronics,Monitor,Monitor,South,Tamil Nadu,Chennai,2,80801.53,0.2,61590.62,19210.91,Net Banking,Online
ORD00041,2025-06-01,CUST0096,Customer_0096,Home & Kitchen,Cookware,Cookware,West,Maharashtra,Mumbai,3,202075.15,0.15,164751.76,37323.39,Net Banking,Offline
ORD00042,2025-08-05,CUST0596,Customer_0596,Electronics,Tablet,Tablet,West,Gujarat,Ahmedabad,3,26095.04,0.0,19142.85,6952.19,Net Banking,Online
ORD00043,2025-08-11,CUST0718,Customer_0718,Clothing,Shirt,Shirt,North,Rajasthan,Jaipur,1,67847.88,0.0,46124.92,21722.96,Cash,Online
ORD00044,2025-05-31,CUST1589,Customer_1589,Furniture,Desk,Desk,West,Maharashtra,Nagpur,4,95863.79,0.1,69573.89,26289.9,UPI,Online
ORD00045,2025-08-27,CUST0658,Customer_0658,Sports,Running Shoes,Running Shoes,South,Tamil Nadu,Coimbatore,2,56962.68,0.2,48968.59,7994.09,Cash,Online
ORD00046,2025-07-13,CUST0634,Customer_0634,Furniture,Table,Table,North,Delhi,New Delhi,5,90974.13,0.0,73276.48,17697.65,Net Banking,Online
ORD00047,2025-10-28,CUST0217,Customer_0217,Sports,Tennis Racket,Tennis Racket,South,Karnataka,Bengaluru,1,70488.62,0.0,58985.73,11502.89,Cash,Offline
ORD00048,2025-06-22,CUST1475,Customer_1475,Home & Kitchen,Lamp,Lamp,North,Punjab,Jalandhar,3,54738.64,0.1,38183.2,16555.44,Net Banking,Offline
ORD00049,2025-07-10,CUST0190,Customer_0190,Home & Kitchen,Cookware,Cookware,North,Rajasthan,Jaipur,1,53698.34,0.1,44500.55,9197.79,Cash,Online
ORD00050,2025-03-21,CUST1173,Customer_1173,Electronics,Laptop,Laptop,North,Punjab,Ludhiana,2,2346.05,0.2,1791.18,554.87,Net Banking,Online
ORD00051,2025-01-14,CUST1329,Customer_1329,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,North,Rajasthan,Udaipur,3,221044.72,0.05,149275.89,71768.83,UPI,Online
ORD00052,2025-06-13,CUST1372,Customer_1372,Clothing,Shirt,Shirt,South,Tamil Nadu,Coimbatore,4,28758.74,0.2,24061.91,4696.83,Credit Card,Offline
ORD00053,2025-07-20,CUST1169,Customer_1169,Furniture,Bookshelf,Bookshelf,North,Haryana,Gurugram,1,19049.41,0.1,16393.93,2655.48,UPI,Online
ORD00054,2025-01-10,CUST0450,Customer_0450,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,North,Uttar Pradesh,Noida,2,53796.49,0.2,50659.74,3136.75,Credit Card,Online
ORD00055,2025-03-04,CUST1306,Customer_1306,Sports,Running Shoes,Running Shoes,West,Gujarat,Ahmedabad,1,38689.42,0.0,26857.61,11831.81,UPI,Offline
ORD00056,2025-11-07,CUST0405,Customer_0405,Clothing,Jacket,Jacket,North,Delhi,New Delhi,1,33985.0,0.1,23920.26,10064.74,Cash,Online
ORD00057,2025-03-24,CUST1482,Customer_1482,Sports,Running Shoes,Running Shoes,North,Punjab,Jalandhar,5,188077.55,0.2,196586.05,-8508.5,UPI,Online
ORD00058,2025-02-03,CUST1824,Customer_1824,Electronics,Laptop,Laptop,North,Uttar Pradesh,Noida,5,84872.99,0.0,65176.11,19696.88,Cash,Online
ORD00059,2025-08-10,CUST0236,Customer_0236,Furniture,Table,Table,North,Haryana,Faridabad,3,106725.15,0.15,100961.54,5763.61,Debit Card,Online
ORD00060,2025-04-08,CUST1330,Customer_1330,Electronics,Tablet,Tablet,West,Maharashtra,Pune,2,109651.79,0.15,109021.7,630.09,Credit Card,Offline
ORD00061,2025-02-20,CUST1130,Customer_1130,Clothing,Jacket,Jacket,North,Haryana,Gurugram,1,53380.35,0.15,42358.24,11022.11,UPI,Online
ORD00062,2025-09-19,CUST0546,Customer_0546,Sports,Yoga Mat,Yoga Mat,South,Tamil Nadu,Chennai,2,104769.23,0.15,88102.78,16666.45,Net Banking,Offline
ORD00063,2025-12-26,CUST1544,Customer_1544,Sports,Tennis Racket,Tennis Racket,North,Uttar Pradesh,Ghaziabad,1,33371.53,0.1,23534.59,9836.94,Cash,Offline
ORD00064,2025-10-04,CUST1427,Customer_1427,Electronics,Headphones,Headphones,North,Uttar Pradesh,Ghaziabad,5,311449.09,0.2,252301.89,59147.2,Net Banking,Offline
ORD00065,2025-03-19,CUST0546,Customer_0546,Home & Kitchen,Cookware,Cookware,North,Punjab,Ludhiana,1,36538.67,0.15,28009.4,8529.27,Credit Card,Online
ORD00066,2025-12-03,CUST1597,Customer_1597,Clothing,Shirt,Shirt,South,Tamil Nadu,Chennai,1,49661.0,0.1,45810.51,3850.49,Credit Card,Offline
ORD00067,2025-08-04,CUST0078,Customer_0078,Electronics,Laptop,Laptop,North,Uttar Pradesh,Noida,4,65144.43,0.05,54171.97,10972.46,Credit Card,Online
ORD00068,2025-10-21,CUST1298,Customer_1298,Furniture,Sofa,Sofa,South,Karnataka,Mangalore,3,193506.15,0.1,157606.11,35900.04,Debit Card,Online
ORD00069,2025-05-25,CUST0537,Customer_0537,Electronics,Tablet,Tablet,South,Tamil Nadu,Madurai,1,63969.62,0.05,49413.76,14555.86,Net Banking,Offline
ORD00070,2025-04-21,CUST0034,Customer_0034,Electronics,Monitor,Monitor,South,Tamil Nadu,Madurai,1,34107.23,0.15,29463.7,4643.53,UPI,Offline
ORD00071,2025-12-31,CUST0315,Customer_0315,Clothing,Jeans,Jeans,East,West Bengal,Kolkata,4,197031.6,0.05,137110.82,59920.78,Net Banking,Online
ORD00072,2025-01-31,CUST0243,Customer_0243,Electronics,Tablet,Tablet,North,Punjab,Ludhiana,4,272559.97,0.0,169003.11,103556.86,Net Banking,Offline
ORD00073,2025-12-01,CUST0194,Customer_0194,Furniture,Bookshelf,Bookshelf,North,Rajasthan,Udaipur,1,35563.08,0.1,31817.71,3745.37,Debit Card,Offline
ORD00074,2025-04-23,CUST0532,Customer_0532,Furniture,Sofa,Sofa,West,Maharashtra,Pune,2,47218.5,0.1,34095.78,13122.72,Cash,Online
ORD00075,2025-06-27,CUST1697,Customer_1697,Electronics,Mobile,Mobile,North,Punjab,Ludhiana,3,179028.34,0.2,164067.69,14960.65,Credit Card,Online
ORD00076,2025-02-07,CUST0777,Customer_0777,Furniture,Bookshelf,Bookshelf,North,Haryana,Gurugram,2,11976.82,0.2,8992.76,2984.06,Debit Card,Offline
ORD00077,2025-01-01,CUST1571,Customer_1571,Electronics,Tablet,Tablet,North,Haryana,Faridabad,5,293019.82,0.0,190829.29,102190.53,Cash,Offline
ORD00078,2025-03-19,CUST0851,Customer_0851,Sports,Tennis Racket,Tennis Racket,East,West Bengal,Kolkata,4,43234.07,0.2,34944.01,8290.06,Credit Card,Offline
ORD00079,2025-01-23,CUST1889,Customer_1889,Home & Kitchen,Mixer,Mixer,South,Tamil Nadu,Chennai,2,117755.38,0.1,98917.84,18837.54,UPI,Online
ORD00080,2025-05-14,CUST0198,Customer_0198,Electronics,Laptop,Laptop,West,Gujarat,Surat,5,326540.4,0.1,266933.11,59607.29,Debit Card,Online
ORD00081,2025-04-07,CUST0550,Customer_0550,Clothing,Jeans,Jeans,North,Rajasthan,Udaipur,5,179487.8,0.1,158976.2,20511.6,Net Banking,Online
ORD00082,2025-10-21,CUST1142,Customer_1142,Clothing,Shirt,Shirt,North,Rajasthan,Jodhpur,2,110007.84,0.1,96398.5,13609.34,Net Banking,Online
ORD00083,2025-06-22,CUST0844,Customer_0844,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,South,Karnataka,Mangalore,5,173675.68,0.2,142699.07,30976.61,Credit Card,Online
ORD00084,2025-12-26,CUST1866,Customer_1866,Clothing,Jacket,Jacket,North,Rajasthan,Jodhpur,3,122713.23,0.15,93175.35,29537.88,Credit Card,Offline
ORD00085,2025-12-22,CUST1004,Customer_1004,Clothing,Shoes,Shoes,South,Tamil Nadu,Chennai,2,83488.04,0.15,73493.12,9994.92,Cash,Online
ORD00086,2025-10-24,CUST1320,Customer_1320,Sports,Football,Football,North,Delhi,Rohini,2,10762.67,0.1,9376.81,1385.86,Debit Card,Online
ORD00087,2025-02-24,CUST1974,Customer_1974,Electronics,Tablet,Tablet,West,Maharashtra,Pune,4,41642.73,0.0,28443.51,13199.22,Debit Card,Offline
ORD00088,2025-03-04,CUST1827,Customer_1827,Sports,Cricket Bat,Cricket Bat,West,Maharashtra,Mumbai,2,102922.96,0.2,96609.97,6312.99,Cash,Online
ORD00089,2025-12-30,CUST0939,Customer_0939,Furniture,Sofa,Sofa,North,Punjab,Amritsar,2,69707.77,0.1,55228.27,14479.5,Debit Card,Online
ORD00090,2025-02-18,CUST0156,Customer_0156,Electronics,Monitor,Monitor,North,Punjab,Ludhiana,1,26379.28,0.1,22219.16,4160.12,UPI,Offline
ORD00091,2025-05-21,CUST1760,Customer_1760,Electronics,Laptop,Laptop,North,Rajasthan,Jodhpur,4,172152.17,0.0,116185.32,55966.85,Debit Card,Online
ORD00092,2025-06-24,CUST0590,Customer_0590,Clothing,T-Shirt,T-Shirt,North,Delhi,New Delhi,5,171131.95,0.1,117211.54,53920.41,Credit Card,Offline
ORD00093,2025-12-25,CUST0055,Customer_0055,Home & Kitchen,Mixer,Mixer,North,Haryana,Faridabad,3,38524.8,0.0,26335.19,12189.61,Debit Card,Offline
ORD00094,2025-12-15,CUST1415,Customer_1415,Furniture,Table,Table,North,Uttar Pradesh,Lucknow,2,56090.42,0.15,53447.39,2643.03,UPI,Online
ORD00095,2025-09-21,CUST1628,Customer_1628,Clothing,Jacket,Jacket,South,Karnataka,Mysore,1,57684.0,0.1,52676.07,5007.93,Credit Card,Online
ORD00096,2025-06-10,CUST0775,Customer_0775,Clothing,Shoes,Shoes,North,Rajasthan,Jaipur,5,155838.9,0.05,98957.78,56881.12,Net Banking,Online
ORD00097,2025-01-11,CUST1940,Customer_1940,Sports,Tennis Racket,Tennis Racket,North,Rajasthan,Jaipur,4,225854.87,0.0,181668.83,44186.04,Credit Card,Online
ORD00098,2025-08-14,CUST1758,Customer_1758,Furniture,Sofa,Sofa,West,Gujarat,Vadodara,4,212918.51,0.2,186929.92,25988.59,Net Banking,Offline
ORD00099,2025-08-03,CUST0059,Customer_0059,Clothing,Shoes,Shoes,South,Tamil Nadu,Coimbatore,4,44228.19,0.05,34518.67,9709.52,UPI,Offline
ORD00100,2025-01-04,CUST1259,Customer_1259,Clothing,Shirt,Shirt,East,West Bengal,Howrah,5,162513.64,0.0,103170.0,59343.64,Credit Card,Offline
ORD00101,2025-12-22,CUST0042,Customer_0042,Sports,Running Shoes,Running Shoes,North,Haryana,Panipat,5,9319.78,0.05,7185.21,2134.57,UPI,Offline
ORD00102,2025-11-09,CUST0027,Customer_0027,Furniture,Chair,Chair,West,Maharashtra,Mumbai,2,92409.77,0.2,69624.86,22784.91,Debit Card,Offline
ORD00103,2025-05-02,CUST0702,Customer_0702,Furniture,Bookshelf,Bookshelf,East,West Bengal,Kolkata,2,139071.92,0.05,102634.4,36437.52,Credit Card,Offline
ORD00104,2025-01-11,CUST1320,Customer_1320,Clothing,Shirt,Shirt,North,Uttar Pradesh,Noida,4,197738.82,0.2,172360.01,25378.81,Cash,Online
ORD00105,2025-08-15,CUST1172,Customer_1172,Clothing,Jacket,Jacket,North,Punjab,Amritsar,5,185052.96,0.05,118394.11,66658.85,Cash,Online
ORD00106,2025-05-09,CUST1041,Customer_1041,Electronics,Headphones,Headphones,North,Haryana,Gurugram,2,76403.73,0.0,47277.44,29126.29,UPI,Online
ORD00107,2025-04-12,CUST1459,Customer_1459,Clothing,Jeans,Jeans,East,West Bengal,Durgapur,3,157484.72,0.2,118228.67,39256.05,Credit Card,Offline
ORD00108,2025-03-21,CUST1342,Customer_1342,Clothing,T-Shirt,T-Shirt,North,Delhi,New Delhi,1,76043.87,0.0,49145.88,26897.99,Debit Card,Offline
ORD00109,2025-12-31,CUST1946,Customer_1946,Sports,Cricket Bat,Cricket Bat,West,Gujarat,Ahmedabad,1,61469.81,0.15,47389.78,14080.03,Credit Card,Online
ORD00110,2025-06-25,CUST0883,Customer_0883,Furniture,Chair,Chair,West,Gujarat,Surat,5,152480.82,0.2,149194.08,3286.74,Credit Card,Online
ORD00111,2025-06-08,CUST1550,Customer_1550,Sports,Football,Football,North,Rajasthan,Udaipur,3,73725.19,0.05,59068.36,14656.83,Debit Card,Offline
ORD00112,2025-02-08,CUST0364,Customer_0364,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,North,Haryana,Panipat,5,202616.37,0.05,166612.87,36003.5,UPI,Offline
ORD00113,2025-02-03,CUST1194,Customer_1194,Sports,Cricket Bat,Cricket Bat,North,Haryana,Gurugram,5,234940.34,0.05,149891.98,85048.36,Debit Card,Online
ORD00114,2025-11-14,CUST0477,Customer_0477,Sports,Running Shoes,Running Shoes,North,Haryana,Panipat,3,203581.19,0.15,146858.91,56722.28,Net Banking,Offline
ORD00115,2025-01-03,CUST1713,Customer_1713,Electronics,Monitor,Monitor,East,West Bengal,Howrah,1,23155.23,0.15,21368.07,1787.16,Net Banking,Offline
ORD00116,2025-03-14,CUST1999,Customer_1999,Furniture,Bookshelf,Bookshelf,North,Haryana,Faridabad,5,19232.04,0.0,15916.15,3315.89,UPI,Online
ORD00117,2025-11-15,CUST1464,Customer_1464,Home & Kitchen,Dinner Set,Dinner Set,South,Tamil Nadu,Chennai,5,89628.76,0.15,74275.38,15353.38,Debit Card,Offline
ORD00118,2025-08-31,CUST1334,Customer_1334,Sports,Football,Football,East,West Bengal,Durgapur,4,19265.83,0.15,18346.88,918.95,Net Banking,Offline
ORD00119,2025-01-05,CUST1798,Customer_1798,Furniture,Sofa,Sofa,North,Haryana,Gurugram,2,6498.36,0.05,5437.39,1060.97,Net Banking,Offline
ORD00120,2025-03-03,CUST0850,Customer_0850,Electronics,Laptop,Laptop,North,Uttar Pradesh,Lucknow,1,13608.44,0.05,10439.99,3168.45,UPI,Offline
ORD00121,2025-04-08,CUST1381,Customer_1381,Clothing,Jacket,Jacket,North,Punjab,Ludhiana,5,215947.33,0.0,177882.37,38064.96,Debit Card,Online
ORD00122,2025-01-25,CUST0040,Customer_0040,Clothing,Jacket,Jacket,East,West Bengal,Durgapur,1,64836.92,0.05,54761.88,10075.04,Net Banking,Online
ORD00123,2025-11-12,CUST0037,Customer_0037,Clothing,Jeans,Jeans,South,Karnataka,Mangalore,3,165333.91,0.05,127594.38,37739.53,Net Banking,Offline
ORD00124,2025-02-25,CUST1347,Customer_1347,Sports,Running Shoes,Running Shoes,North,Delhi,Dwarka,5,154826.53,0.2,159980.02,-5153.49,Credit Card,Offline
ORD00125,2025-10-31,CUST1595,Customer_1595,Clothing,T-Shirt,T-Shirt,North,Delhi,Dwarka,3,177272.9,0.15,169482.37,7790.53,UPI,Online
ORD00126,2025-05-13,CUST0007,Customer_0007,Clothing,T-Shirt,T-Shirt,East,West Bengal,Kolkata,2,16044.86,0.1,14051.36,1993.5,Debit Card,Online
ORD00127,2025-03-23,CUST1575,Customer_1575,Furniture,Chair,Chair,North,Uttar Pradesh,Ghaziabad,2,19341.28,0.1,14122.49,5218.79,Cash,Offline
ORD00128,2025-08-11,CUST0360,Customer_0360,Sports,Running Shoes,Running Shoes,West,Gujarat,Surat,5,247728.45,0.0,183309.41,64419.04,Credit Card,Offline
ORD00129,2025-12-01,CUST0572,Customer_0572,Sports,Tennis Racket,Tennis Racket,North,Punjab,Jalandhar,2,66239.97,0.05,47795.14,18444.83,Net Banking,Online
ORD00130,2025-07-12,CUST0401,Customer_0401,Home & Kitchen,Dinner Set,Dinner Set,North,Rajasthan,Jodhpur,4,97706.41,0.0,77456.38,20250.03,Credit Card,Offline
ORD00131,2025-01-07,CUST0381,Customer_0381,Clothing,Jeans,Jeans,North,Haryana,Faridabad,5,161791.58,0.1,113707.41,48084.17,Net Banking,Online
ORD00132,2025-02-08,CUST1123,Customer_1123,Electronics,Headphones,Headphones,South,Tamil Nadu,Madurai,2,24957.63,0.05,22311.62,2646.01,Net Banking,Online
ORD00133,2025-08-24,CUST1406,Customer_1406,Clothing,Shoes,Shoes,North,Haryana,Panipat,4,189121.11,0.1,171682.79,17438.32,Cash,Online
ORD00134,2025-01-15,CUST0570,Customer_0570,Sports,Running Shoes,Running Shoes,North,Rajasthan,Jodhpur,3,60210.29,0.1,45357.62,14852.67,Credit Card,Online
ORD00135,2025-04-03,CUST1681,Customer_1681,Clothing,Shirt,Shirt,East,West Bengal,Howrah,4,129608.64,0.15,98560.72,31047.92,Net Banking,Offline
ORD00136,2025-02-15,CUST1852,Customer_1852,Clothing,Jeans,Jeans,North,Rajasthan,Udaipur,3,162805.84,0.15,116479.26,46326.58,UPI,Offline
ORD00137,2025-03-13,CUST1368,Customer_1368,Electronics,Monitor,Monitor,North,Rajasthan,Jaipur,1,10628.5,0.2,8864.81,1763.69,Debit Card,Offline
ORD00138,2025-06-15,CUST0607,Customer_0607,Sports,Cricket Bat,Cricket Bat,South,Karnataka,Bengaluru,2,103732.97,0.05,78617.0,25115.97,Debit Card,Online
ORD00139,2025-02-15,CUST0889,Customer_0889,Electronics,Laptop,Laptop,North,Punjab,Ludhiana,3,116100.91,0.0,76685.96,39414.95,Cash,Offline
ORD00140,2025-03-18,CUST1997,Customer_1997,Electronics,Mobile,Mobile,South,Karnataka,Mysore,4,25028.37,0.0,15566.81,9461.56,Cash,Offline
ORD00141,2025-11-13,CUST1995,Customer_1995,Furniture,Table,Table,South,Tamil Nadu,Coimbatore,2,6415.95,0.15,4726.23,1689.72,Debit Card,Online
ORD00142,2025-11-14,CUST1108,Customer_1108,Electronics,Laptop,Laptop,West,Gujarat,Vadodara,1,54026.8,0.05,43012.5,11014.3,Debit Card,Online
ORD00143,2025-12-28,CUST1724,Customer_1724,Clothing,Shoes,Shoes,North,Rajasthan,Jodhpur,2,113066.44,0.1,76657.6,36408.84,Debit Card,Offline
ORD00144,2025-04-29,CUST1757,Customer_1757,Home & Kitchen,Dinner Set,Dinner Set,East,West Bengal,Kolkata,3,45715.16,0.15,42276.83,3438.33,Net Banking,Online
ORD00145,2025-02-28,CUST0873,Customer_0873,Clothing,Shoes,Shoes,North,Haryana,Faridabad,2,83895.06,0.2,89042.38,-5147.32,Debit Card,Offline
ORD00146,2025-12-16,CUST1841,Customer_1841,Furniture,Sofa,Sofa,North,Uttar Pradesh,Noida,5,168813.92,0.0,136758.37,32055.55,Net Banking,Online
ORD00147,2025-06-26,CUST1586,Customer_1586,Furniture,Desk,Desk,South,Karnataka,Bengaluru,4,200465.19,0.15,171270.67,29194.52,Debit Card,Offline
ORD00148,2025-09-19,CUST0932,Customer_0932,Electronics,Monitor,Monitor,South,Tamil Nadu,Chennai,2,74461.34,0.05,58740.66,15720.68,Credit Card,Online
ORD00149,2025-08-13,CUST0911,Customer_0911,Clothing,Jeans,Jeans,North,Punjab,Ludhiana,4,117860.22,0.05,94026.41,23833.81,Debit Card,Offline
ORD00150,2025-11-12,CUST1526,Customer_1526,Home & Kitchen,Cookware,Cookware,North,Haryana,Panipat,5,273694.46,0.2,242661.39,31033.07,Net Banking,Online
ORD00151,2025-08-17,CUST1187,Customer_1187,Electronics,Monitor,Monitor,North,Haryana,Panipat,1,31590.98,0.0,22106.15,9484.83,Net Banking,Online
ORD00152,2025-12-16,CUST0844,Customer_0844,Electronics,Monitor,Monitor,South,Karnataka,Bengaluru,3,201651.52,0.05,151173.77,50477.75,UPI,Online
ORD00153,2025-06-24,CUST1131,Customer_1131,Sports,Yoga Mat,Yoga Mat,South,Karnataka,Mangalore,4,192741.88,0.15,157558.47,35183.41,Net Banking,Offline
ORD00154,2025-10-20,CUST1666,Customer_1666,Sports,Cricket Bat,Cricket Bat,North,Delhi,Rohini,4,147636.55,0.15,115927.24,31709.31,Cash,Offline
ORD00155,2025-07-25,CUST0691,Customer_0691,Sports,Cricket Bat,Cricket Bat,West,Gujarat,Vadodara,5,298972.26,0.2,233881.23,65091.03,Cash,Offline
ORD00156,2025-02-08,CUST1209,Customer_1209,Home & Kitchen,Vacuum Cleaner,Vacuum Cleaner,North,Haryana,Panipat,3,5645.08,0.0,4289.02,1356.06,Debit Card,Offline
ORD00157,2025-01-08,CUST0375,Customer_0375,Home & Kitchen,Dinner Set,Dinner Set,West,Gujarat,Surat,5,56580.18,0.05,38740.35,17839.83,Credit Card,Online
ORD00158,2025-04-24,CUST1438,Customer_1438,Electronics,Tablet,Tablet,North,Punjab,Ludhiana,2,100889.57,0.05,73657.26,27232.31,Credit Card,Online
